,Region,ScoreType,BestSource,SourcesSet,Value,IsBest,NbFolds
0,Amazonas,OOS,Colombia & GT by Symptom,Colombia,-0.049359052589576624,False,16
1,Amazonas,InSample,Colombia & GT by Symptom,Colombia,0.4210227428200693,False,16
2,Anzoategui,OOS,Colombia & GT,Colombia,-3.6642050914436126,False,16
3,Anzoategui,InSample,Colombia & GT,Colombia,0.2253565937502037,False,16
4,Apure,OOS,Colombia & GT,Colombia,-1.3381130599444404,False,16
5,Apure,InSample,Colombia & GT,Colombia,0.422890074690051,False,16
6,Aragua,OOS,Colombia & GT by State,Colombia,-0.4034631059886242,False,16
7,Aragua,InSample,Colombia & GT by State,Colombia,0.1970739368352339,False,16
8,Barinas,OOS,Colombia & GT,Colombia,0.1000075420459623,False,16
9,Barinas,InSample,Colombia & GT,Colombia,0.3441899658467694,False,16
10,Bolivar,OOS,Colombia & GT,Colombia,0.02762463960774142,False,16
11,Bolivar,InSample,Colombia & GT,Colombia,0.1509601594273723,False,16
12,Carabobo,OOS,Colombia & GT by Symptom,Colombia,-0.2272023022341716,False,16
13,Carabobo,InSample,Colombia & GT by Symptom,Colombia,0.3555043970473564,False,16
14,Cojedes,OOS,Colombia & GT by Symptom,Colombia,-0.1074587563299021,False,16
15,Cojedes,InSample,Colombia & GT by Symptom,Colombia,0.17182937854323346,False,16
16,Delta Amacuro,OOS,Colombia Border & GT,Colombia,0.2399199028996727,False,16
17,Delta Amacuro,InSample,Colombia Border & GT,Colombia,0.3092200425266725,False,16
18,Distrito Federal,OOS,Colombia & GT,Colombia,0.13794881551622729,False,16
19,Distrito Federal,InSample,Colombia & GT,Colombia,0.5172408151577698,False,16
20,Falcon,OOS,Colombia & GT,Colombia,-0.05887642051920582,False,16
21,Falcon,InSample,Colombia & GT,Colombia,0.1468038213382532,False,16
22,Guarico,OOS,Colombia & GT by Symptom,Colombia,-0.5498131648330089,False,16
23,Guarico,InSample,Colombia & GT by Symptom,Colombia,0.2186317035043248,False,16
24,Lara,OOS,Colombia & GT,Colombia,-0.28085406909814403,False,16
25,Lara,InSample,Colombia & GT,Colombia,0.4622882329202842,False,16
26,Merida,OOS,Colombia & GT,Colombia,0.05065800790929609,False,16
27,Merida,InSample,Colombia & GT,Colombia,0.6112695511098098,False,16
28,Miranda,OOS,Colombia & GT,Colombia,-0.04848030004194204,False,16
29,Miranda,InSample,Colombia & GT,Colombia,0.3704029276654499,False,16
30,Monagas,OOS,Colombia & GT by Symptom,Colombia,-0.3704660142034404,False,16
31,Monagas,InSample,Colombia & GT by Symptom,Colombia,0.2775580711680252,False,16
32,Nueva Esparta,OOS,Colombia & GT,Colombia,-0.4378652009873081,False,16
33,Nueva Esparta,InSample,Colombia & GT,Colombia,0.1919436428477489,False,16
34,Portuguesa,OOS,GT Venezuela,Colombia,0.05706874743972101,False,16
35,Portuguesa,InSample,GT Venezuela,Colombia,0.1923865710877375,False,16
36,Sucre,OOS,Colombia & GT,Colombia,-2.7394502586316403,False,16
37,Sucre,InSample,Colombia & GT,Colombia,0.3213547409862991,False,16
38,Tachira,OOS,Colombia & GT,Colombia,-0.3634481270926546,False,16
39,Tachira,InSample,Colombia & GT,Colombia,0.6319412787251011,False,16
40,Total,OOS,Colombia & GT,Colombia,-0.2307122481236749,False,16
41,Total,InSample,Colombia & GT,Colombia,0.4328589774199236,False,16
42,Trujillo,OOS,Colombia & GT,Colombia,-0.26148284514491005,False,16
43,Trujillo,InSample,Colombia & GT,Colombia,0.2335013179130125,False,16
44,Vargas,OOS,Colombia & GT,Colombia,-0.3548240297948657,False,16
45,Vargas,InSample,Colombia & GT,Colombia,0.28946721960286825,False,16
46,Yaracuy,OOS,Colombia & GT by Symptom,Colombia,0.009723675641836738,False,16
47,Yaracuy,InSample,Colombia & GT by Symptom,Colombia,0.3573451969958006,False,16
48,Zulia,OOS,Colombia & GT,Colombia,-1.2867884755113121,False,16
49,Zulia,InSample,Colombia & GT,Colombia,0.2251634737568442,False,16
50,Amazonas,OOS,Colombia & GT by Symptom,Colombia Border & GT,0.02922012786210615,False,16
51,Amazonas,InSample,Colombia & GT by Symptom,Colombia Border & GT,0.4488272295624838,False,16
52,Anzoategui,OOS,Colombia & GT,Colombia Border & GT,-0.8398731423086347,False,16
53,Anzoategui,InSample,Colombia & GT,Colombia Border & GT,0.5038931366437052,False,16
54,Apure,OOS,Colombia & GT,Colombia Border & GT,0.17758646968460567,False,16
55,Apure,InSample,Colombia & GT,Colombia Border & GT,0.39171140216473255,False,16
56,Aragua,OOS,Colombia & GT by State,Colombia Border & GT,-0.02150680459258636,False,16
57,Aragua,InSample,Colombia & GT by State,Colombia Border & GT,0.4054757720840243,False,16
58,Barinas,OOS,Colombia & GT,Colombia Border & GT,0.26743185325642194,False,16
59,Barinas,InSample,Colombia & GT,Colombia Border & GT,0.4444893432442213,False,16
60,Bolivar,OOS,Colombia & GT,Colombia Border & GT,-0.00276223666216735,False,16
61,Bolivar,InSample,Colombia & GT,Colombia Border & GT,0.23298339717684435,False,16
62,Carabobo,OOS,Colombia & GT by Symptom,Colombia Border & GT,-0.14685231864277526,False,16
63,Carabobo,InSample,Colombia & GT by Symptom,Colombia Border & GT,0.4934316503732584,False,16
64,Cojedes,OOS,Colombia & GT by Symptom,Colombia Border & GT,-0.12469198981447938,False,16
65,Cojedes,InSample,Colombia & GT by Symptom,Colombia Border & GT,0.2394353824616704,False,16
66,Delta Amacuro,OOS,Colombia Border & GT,Colombia Border & GT,0.206199742543672,True,16
67,Delta Amacuro,InSample,Colombia Border & GT,Colombia Border & GT,0.5096445648221541,True,16
68,Distrito Federal,OOS,Colombia & GT,Colombia Border & GT,0.1686739326857315,False,16
69,Distrito Federal,InSample,Colombia & GT,Colombia Border & GT,0.7648845933982915,False,16
70,Falcon,OOS,Colombia & GT,Colombia Border & GT,0.2538186717639074,False,16
71,Falcon,InSample,Colombia & GT,Colombia Border & GT,0.5819095151948859,False,16
72,Guarico,OOS,Colombia & GT by Symptom,Colombia Border & GT,0.048618866727937686,False,16
73,Guarico,InSample,Colombia & GT by Symptom,Colombia Border & GT,0.4546522714665694,False,16
74,Lara,OOS,Colombia & GT,Colombia Border & GT,0.1533946005366177,False,16
75,Lara,InSample,Colombia & GT,Colombia Border & GT,0.6323509482874329,False,16
76,Merida,OOS,Colombia & GT,Colombia Border & GT,0.08759740095730018,False,16
77,Merida,InSample,Colombia & GT,Colombia Border & GT,0.5720455244520668,False,16
78,Miranda,OOS,Colombia & GT,Colombia Border & GT,0.2672103938033481,False,16
79,Miranda,InSample,Colombia & GT,Colombia Border & GT,0.7600945299262603,False,16
80,Monagas,OOS,Colombia & GT by Symptom,Colombia Border & GT,0.019918934854293413,False,16
81,Monagas,InSample,Colombia & GT by Symptom,Colombia Border & GT,0.3700208642471915,False,16
82,Nueva Esparta,OOS,Colombia & GT,Colombia Border & GT,0.27198456675839955,False,16
83,Nueva Esparta,InSample,Colombia & GT,Colombia Border & GT,0.5454155740852459,False,16
84,Portuguesa,OOS,GT Venezuela,Colombia Border & GT,0.11846655620717615,False,16
85,Portuguesa,InSample,GT Venezuela,Colombia Border & GT,0.27487593099115826,False,16
86,Sucre,OOS,Colombia & GT,Colombia Border & GT,-0.09532805586977268,False,16
87,Sucre,InSample,Colombia & GT,Colombia Border & GT,0.5488140356732423,False,16
