,Region,ScoreType,BestSource,SourcesSet,Value,IsBest,NbFolds
0,Amazonas,OOS,Colombia & GT,Colombia,0.4983691950113338,False,24
1,Amazonas,InSample,Colombia & GT,Colombia,0.40598957587127016,False,24
2,Anzoategui,OOS,Colombia & GT,Colombia,-2.5511868690384647,False,24
3,Anzoategui,InSample,Colombia & GT,Colombia,0.3190531799632393,False,24
4,Apure,OOS,Colombia & GT,Colombia,-1.3381130599444404,False,24
5,Apure,InSample,Colombia & GT,Colombia,0.4363711986755484,False,24
6,Aragua,OOS,Colombia & GT,Colombia,-0.6185689856726588,False,24
7,Aragua,InSample,Colombia & GT,Colombia,0.22851568837855984,False,24
8,Barinas,OOS,Colombia & GT,Colombia,0.05717335234847876,False,24
9,Barinas,InSample,Colombia & GT,Colombia,0.3711711159135067,False,24
10,Bolivar,OOS,Colombia Border & GT,Colombia,0.005647559840974536,False,24
11,Bolivar,InSample,Colombia Border & GT,Colombia,0.2129778213258948,False,24
12,Carabobo,OOS,Colombia & GT,Colombia,-0.11491787656070995,False,24
13,Carabobo,InSample,Colombia & GT,Colombia,0.2622473312491014,False,24
14,Cojedes,OOS,Colombia & GT by State,Colombia,-0.20326859441827794,False,24
15,Cojedes,InSample,Colombia & GT by State,Colombia,0.3107626221959483,False,24
16,Delta Amacuro,OOS,Colombia & GT,Colombia,0.2717062926533668,False,24
17,Delta Amacuro,InSample,Colombia & GT,Colombia,0.4007780454815185,False,24
18,Distrito Federal,OOS,Colombia & GT,Colombia,0.09012107802339353,False,24
19,Distrito Federal,InSample,Colombia & GT,Colombia,0.512521748412592,False,24
20,Falcon,OOS,Colombia & GT,Colombia,-0.10866158250789626,False,24
21,Falcon,InSample,Colombia & GT,Colombia,0.20616153130068332,False,24
22,Guarico,OOS,Colombia & GT,Colombia,-0.5498131648330089,False,24
23,Guarico,InSample,Colombia & GT,Colombia,0.2521320288056076,False,24
24,Lara,OOS,Colombia & GT,Colombia,-0.07481505199298444,False,24
25,Lara,InSample,Colombia & GT,Colombia,0.512316130826347,False,24
26,Merida,OOS,Colombia & GT,Colombia,0.09965200198313053,False,24
27,Merida,InSample,Colombia & GT,Colombia,0.6726520584093679,False,24
28,Miranda,OOS,Colombia & GT,Colombia,-0.4142455377450913,False,24
29,Miranda,InSample,Colombia & GT,Colombia,0.5756772512420238,False,24
30,Monagas,OOS,Colombia & GT,Colombia,-0.4575279205707538,False,24
31,Monagas,InSample,Colombia & GT,Colombia,0.2759031882352212,False,24
32,Nueva Esparta,OOS,Colombia & GT,Colombia,-0.4343048745622185,False,24
33,Nueva Esparta,InSample,Colombia & GT,Colombia,0.15447264663088378,False,24
34,Portuguesa,OOS,Colombia & GT by State,Colombia,0.10353279492889744,False,24
35,Portuguesa,InSample,Colombia & GT by State,Colombia,0.2378888058107388,False,24
36,Sucre,OOS,Colombia & GT,Colombia,-2.243286322419877,False,24
37,Sucre,InSample,Colombia & GT,Colombia,0.4409897048410937,False,24
38,Tachira,OOS,Colombia & GT,Colombia,0.0182821308177622,False,24
39,Tachira,InSample,Colombia & GT,Colombia,0.7324872675678527,False,24
40,Total,OOS,Colombia & GT,Colombia,-0.2904250936796457,False,24
41,Total,InSample,Colombia & GT,Colombia,0.5222545806369321,False,24
42,Trujillo,OOS,Colombia & GT,Colombia,-0.5186798609207952,False,24
43,Trujillo,InSample,Colombia & GT,Colombia,0.2021989649308753,False,24
44,Vargas,OOS,Colombia & GT,Colombia,-0.34689417080095986,False,24
45,Vargas,InSample,Colombia & GT,Colombia,0.3170741581526432,False,24
46,Yaracuy,OOS,Colombia Border & GT,Colombia,-0.08886043937076638,False,24
47,Yaracuy,InSample,Colombia Border & GT,Colombia,0.3359555844567006,False,24
48,Zulia,OOS,Colombia & GT,Colombia,-0.377917369284126,False,24
49,Zulia,InSample,Colombia & GT,Colombia,0.2825910060642203,False,24
50,Amazonas,OOS,Colombia & GT,Colombia Border & GT,-0.13385854282925402,False,24
51,Amazonas,InSample,Colombia & GT,Colombia Border & GT,0.3873863360778613,False,24
52,Anzoategui,OOS,Colombia & GT,Colombia Border & GT,-1.6003662631927955,False,24
53,Anzoategui,InSample,Colombia & GT,Colombia Border & GT,0.5564280484842232,False,24
54,Apure,OOS,Colombia & GT,Colombia Border & GT,0.31363930160677944,False,24
55,Apure,InSample,Colombia & GT,Colombia Border & GT,0.3851411313574553,False,24
56,Aragua,OOS,Colombia & GT,Colombia Border & GT,0.016947207329952252,False,24
57,Aragua,InSample,Colombia & GT,Colombia Border & GT,0.5277117526738797,False,24
58,Barinas,OOS,Colombia & GT,Colombia Border & GT,0.2556935647017343,False,24
59,Barinas,InSample,Colombia & GT,Colombia Border & GT,0.4570430647538308,False,24
60,Bolivar,OOS,Colombia Border & GT,Colombia Border & GT,0.19649286061115467,True,24
61,Bolivar,InSample,Colombia Border & GT,Colombia Border & GT,0.2844148692405041,True,24
62,Carabobo,OOS,Colombia & GT,Colombia Border & GT,-0.15305896507962236,False,24
63,Carabobo,InSample,Colombia & GT,Colombia Border & GT,0.5609370041772865,False,24
64,Cojedes,OOS,Colombia & GT by State,Colombia Border & GT,0.0467500471282607,False,24
65,Cojedes,InSample,Colombia & GT by State,Colombia Border & GT,0.3674532632221476,False,24
66,Delta Amacuro,OOS,Colombia & GT,Colombia Border & GT,0.120247995897796,False,24
67,Delta Amacuro,InSample,Colombia & GT,Colombia Border & GT,0.4389764191193857,False,24
68,Distrito Federal,OOS,Colombia & GT,Colombia Border & GT,0.18018375198533645,False,24
69,Distrito Federal,InSample,Colombia & GT,Colombia Border & GT,0.7369764061326867,False,24
70,Falcon,OOS,Colombia & GT,Colombia Border & GT,0.2623113372340721,False,24
71,Falcon,InSample,Colombia & GT,Colombia Border & GT,0.49972159568446206,False,24
72,Guarico,OOS,Colombia & GT,Colombia Border & GT,0.048618866727937686,False,24
73,Guarico,InSample,Colombia & GT,Colombia Border & GT,0.4601132800851638,False,24
74,Lara,OOS,Colombia & GT,Colombia Border & GT,0.10000258924382056,False,24
75,Lara,InSample,Colombia & GT,Colombia Border & GT,0.5646300215319353,False,24
76,Merida,OOS,Colombia & GT,Colombia Border & GT,0.22752604306548496,False,24
77,Merida,InSample,Colombia & GT,Colombia Border & GT,0.6881330204870572,False,24
78,Miranda,OOS,Colombia & GT,Colombia Border & GT,0.01662696974694311,False,24
79,Miranda,InSample,Colombia & GT,Colombia Border & GT,0.7838876869288459,False,24
80,Monagas,OOS,Colombia & GT,Colombia Border & GT,0.08417792757885834,False,24
81,Monagas,InSample,Colombia & GT,Colombia Border & GT,0.4387697575888164,False,24
82,Nueva Esparta,OOS,Colombia & GT,Colombia Border & GT,0.19767933830689888,False,24
83,Nueva Esparta,InSample,Colombia & GT,Colombia Border & GT,0.5178544960880646,False,24
84,Portuguesa,OOS,Colombia & GT by State,Colombia Border & GT,0.20204426697299627,False,24
85,Portuguesa,InSample,Colombia & GT by State,Colombia Border & GT,0.3650895828572101,False,24
86,Sucre,OOS,Colombia & GT,Colombia Border & GT,-0.05395001164591573,False,24
87,Sucre,InSample,Colombia & GT,Colombia Border & GT,0.6136782509525108,False,24
88,Tachira,OOS,Colombia & GT,Colombia Border & GT,0.15144515832710792,False,24
89,Tachira,InSample,Colombia & GT,Colombia Border & GT,0.7472647596221302,False,24
90,Total,OOS,Colombia & GT,Colombia Border & GT,0.4589995823959788,False,24
91,Total,InSample,Colombia & GT,Colombia Border & GT,0.7390839236995639,False,24
92,Trujillo,OOS,Colombia & GT,Colombia Border & GT,0.04036242946922487,False,24
93,Trujillo,InSample,Colombia & GT,Colombia Border & GT,0.5264978407419811,False,24
94,Vargas,OOS,Colombia & GT,Colombia Border & GT,-0.20145514776432732,False,24
95,Vargas,InSample,Colombia & GT,Colombia Border & GT,0.6038481604667114,False,24
96,Yaracuy,OOS,Colombia Border & GT,Colombia Border & GT,0.24885389521013945,True,24
97,Yaracuy,InSample,Colombia Border & GT,Colombia Border & GT,0.6710197520491975,True,24
98,Zulia,OOS,Colombia & GT,Colombia Border & GT,0.2301063746383072,False,24
99,Zulia,InSample,Colombia & GT,Colombia Border & GT,0.6203692132477727,False,24
100,Amazonas,OOS,Colombia & GT,Colombia & GT,0.11264220347943987,True,24
101,Amazonas,InSample,Colombia & GT,Colombia & GT,0.4679683940482223,True,24
102,Anzoategui,OOS,Colombia & GT,Colombia & GT,-0.92951304352853,True,24
103,Anzoategui,InSample,Colombia & GT,Colombia & GT,0.7509219113969916,True,24
104,Apure,OOS,Colombia & GT,Colombia & GT,0.2052659694161012,True,24
105,Apure,InSample,Colombia & GT,Colombia & GT,0.4805446103801536,True,24
106,Aragua,OOS,Colombia & GT,Colombia & GT,-1.06919378153975,True,24
107,Aragua,InSample,Colombia & GT,Colombia & GT,0.7461909411129168,True,24
108,Barinas,OOS,Colombia & GT,Colombia & GT,-0.023834588630710533,True,24
