,Region,ScoreType,BestSource,SourcesSet,Value,IsBest,NbFolds
0,Amazonas,OOS,Colombia & GT,Colombia,-0.14563058288303066,False,4
1,Amazonas,InSample,Colombia & GT,Colombia,0.4439927937339252,False,4
2,Anzoategui,OOS,Colombia Border & GT,Colombia,-3.6641003930292015,False,4
3,Anzoategui,InSample,Colombia Border & GT,Colombia,0.2725897020263845,False,4
4,Apure,OOS,Colombia & GT by State,Colombia,-1.1005215343023482,False,4
5,Apure,InSample,Colombia & GT by State,Colombia,0.3950413745619229,False,4
6,Aragua,OOS,Colombia & GT by State,Colombia,-0.7011960831044457,False,4
7,Aragua,InSample,Colombia & GT by State,Colombia,0.3488606245789345,False,4
8,Barinas,OOS,Colombia & GT by State,Colombia,-0.2107326010037225,False,4
9,Barinas,InSample,Colombia & GT by State,Colombia,0.4348502885113307,False,4
10,Bolivar,OOS,Colombia & GT,Colombia,0.024625474663432127,False,4
11,Bolivar,InSample,Colombia & GT,Colombia,0.16195144567702835,False,4
12,Carabobo,OOS,Colombia & GT by State,Colombia,0.005623086701169511,False,4
13,Carabobo,InSample,Colombia & GT by State,Colombia,0.3366691260161926,False,4
14,Cojedes,OOS,Colombia & GT by Symptom,Colombia,-0.1887131322059754,False,4
15,Cojedes,InSample,Colombia & GT by Symptom,Colombia,0.3215299070797224,False,4
16,Delta Amacuro,OOS,Colombia & GT,Colombia,0.19913420426738992,False,4
17,Delta Amacuro,InSample,Colombia & GT,Colombia,0.3079246770935448,False,4
18,Distrito Federal,OOS,Colombia & GT,Colombia,0.031319642920645374,False,4
19,Distrito Federal,InSample,Colombia & GT,Colombia,0.35539033288421684,False,4
20,Falcon,OOS,Colombia Border & GT,Colombia,-0.11667582016223994,False,4
21,Falcon,InSample,Colombia Border & GT,Colombia,0.18493405829783427,False,4
22,Guarico,OOS,Colombia & GT by Symptom,Colombia,-0.3733681486765297,False,4
23,Guarico,InSample,Colombia & GT by Symptom,Colombia,0.2647802958085733,False,4
24,Lara,OOS,Colombia & GT,Colombia,-0.21424693152400892,False,4
25,Lara,InSample,Colombia & GT,Colombia,0.42040589413003615,False,4
