,Region,ScoreType,BestSource,SourcesSet,Value,IsBest,NbFolds
0,Amazonas,OOS,Colombia & GT,Colombia,0.2818898228012309,False,2
1,Amazonas,InSample,Colombia & GT,Colombia,0.2873121582675513,False,2
2,Anzoategui,OOS,Colombia & GT,Colombia,-5.807687504642731,False,2
3,Anzoategui,InSample,Colombia & GT,Colombia,0.374537062216017,False,2
4,Apure,OOS,Colombia & GT by State,Colombia,-1.0522050017428517,False,2
5,Apure,InSample,Colombia & GT by State,Colombia,0.4139626414048557,False,2
6,Aragua,OOS,Colombia & GT by State,Colombia,-1.5763620330691852,False,2
7,Aragua,InSample,Colombia & GT by State,Colombia,-3.91486042484618,False,2
8,Barinas,OOS,Colombia & GT by State,Colombia,-0.33672610833222016,False,2
9,Barinas,InSample,Colombia & GT by State,Colombia,0.4002633919895494,False,2
10,Bolivar,OOS,Colombia & GT,Colombia,0.02549198636142358,False,2
11,Bolivar,InSample,Colombia & GT,Colombia,0.1730927972764975,False,2
12,Carabobo,OOS,Colombia & GT by State,Colombia,0.15037755592591906,False,2
13,Carabobo,InSample,Colombia & GT by State,Colombia,0.3001934383375049,False,2
14,Cojedes,OOS,Colombia & GT by Symptom,Colombia,0.1315750611156703,False,2
15,Cojedes,InSample,Colombia & GT by Symptom,Colombia,0.2103958933558188,False,2
16,Delta Amacuro,OOS,Colombia & GT,Colombia,0.2750803353155058,False,2
17,Delta Amacuro,InSample,Colombia & GT,Colombia,0.3379448174648527,False,2
18,Distrito Federal,OOS,Colombia & GT,Colombia,-0.03188617902521118,False,2
19,Distrito Federal,InSample,Colombia & GT,Colombia,0.2669893932223065,False,2
20,Falcon,OOS,Colombia & GT,Colombia,-0.28903046810182564,False,2
21,Falcon,InSample,Colombia & GT,Colombia,0.27984892471147826,False,2
22,Guarico,OOS,Colombia & GT by Symptom,Colombia,-0.5160718176184179,False,2
23,Guarico,InSample,Colombia & GT by Symptom,Colombia,0.2432636172982245,False,2
24,Lara,OOS,Colombia & GT,Colombia,-0.03598446174027381,False,2
25,Lara,InSample,Colombia & GT,Colombia,0.15585735755075092,False,2
26,Merida,OOS,Colombia & GT by Symptom,Colombia,-0.27984981070566706,False,2
27,Merida,InSample,Colombia & GT by Symptom,Colombia,0.3519107128221862,False,2
28,Miranda,OOS,Colombia & GT,Colombia,-0.09673592484686,False,2
29,Miranda,InSample,Colombia & GT,Colombia,0.17539858448974788,False,2
30,Monagas,OOS,Colombia & GT by State,Colombia,-0.667069001780145,False,2
31,Monagas,InSample,Colombia & GT by State,Colombia,0.16376023291930186,False,2
32,Nueva Esparta,OOS,Colombia Border & GT,Colombia,0.1231825914640846,False,2
33,Nueva Esparta,InSample,Colombia Border & GT,Colombia,0.2452765333901917,False,2
34,Portuguesa,OOS,Colombia & GT by State,Colombia,-0.2760819054900823,False,2
35,Portuguesa,InSample,Colombia & GT by State,Colombia,-4.232643313150204,False,2
36,Sucre,OOS,Colombia & GT,Colombia,-0.03962467286266014,False,2
37,Sucre,InSample,Colombia & GT,Colombia,0.2697449197266182,False,2
38,Tachira,OOS,Colombia & GT,Colombia,-0.7473569561333944,False,2
39,Tachira,InSample,Colombia & GT,Colombia,0.6047578516488894,False,2
40,Total,OOS,Colombia & GT,Colombia,0.2287528131001838,False,2
41,Total,InSample,Colombia & GT,Colombia,0.16958422164220974,False,2
42,Trujillo,OOS,Colombia Border & GT,Colombia,-0.06097740067996571,False,2
43,Trujillo,InSample,Colombia Border & GT,Colombia,0.24869772966070602,False,2
44,Vargas,OOS,Colombia & GT,Colombia,-0.373298968446659,False,2
45,Vargas,InSample,Colombia & GT,Colombia,0.3763927862127986,False,2
46,Yaracuy,OOS,Colombia & GT by Symptom,Colombia,0.06969014959269115,False,2
47,Yaracuy,InSample,Colombia & GT by Symptom,Colombia,0.18539123034184146,False,2
48,Zulia,OOS,Colombia Border & GT,Colombia,-0.9043636230172024,False,2
49,Zulia,InSample,Colombia Border & GT,Colombia,0.15880210894923175,False,2
50,Amazonas,OOS,Colombia & GT,Colombia Border & GT,0.008247327250250458,False,2
51,Amazonas,InSample,Colombia & GT,Colombia Border & GT,0.4286803602084239,False,2
52,Anzoategui,OOS,Colombia & GT,Colombia Border & GT,-0.13884617176244252,False,2
53,Anzoategui,InSample,Colombia & GT,Colombia Border & GT,0.4521603690527062,False,2
54,Apure,OOS,Colombia & GT by State,Colombia Border & GT,0.34737745786585994,False,2
55,Apure,InSample,Colombia & GT by State,Colombia Border & GT,0.4067834114057571,False,2
56,Aragua,OOS,Colombia & GT by State,Colombia Border & GT,-0.3113891378555218,False,2
57,Aragua,InSample,Colombia & GT by State,Colombia Border & GT,0.3703724728748956,False,2
58,Barinas,OOS,Colombia & GT by State,Colombia Border & GT,0.16611083516066716,False,2
59,Barinas,InSample,Colombia & GT by State,Colombia Border & GT,0.43098108679004943,False,2
60,Bolivar,OOS,Colombia & GT,Colombia Border & GT,-0.0412822927920864,False,2
61,Bolivar,InSample,Colombia & GT,Colombia Border & GT,0.28305076403698826,False,2
62,Carabobo,OOS,Colombia & GT by State,Colombia Border & GT,-0.15589102082531414,False,2
63,Carabobo,InSample,Colombia & GT by State,Colombia Border & GT,0.4462180131658001,False,2
64,Cojedes,OOS,Colombia & GT by Symptom,Colombia Border & GT,0.04798484055102159,False,2
65,Cojedes,InSample,Colombia & GT by Symptom,Colombia Border & GT,0.2728615415454623,False,2
66,Delta Amacuro,OOS,Colombia & GT,Colombia Border & GT,0.05577581323780178,False,2
67,Delta Amacuro,InSample,Colombia & GT,Colombia Border & GT,0.2432208269320988,False,2
68,Distrito Federal,OOS,Colombia & GT,Colombia Border & GT,0.09169143566885096,False,2
69,Distrito Federal,InSample,Colombia & GT,Colombia Border & GT,0.6196093494726923,False,2
70,Falcon,OOS,Colombia & GT,Colombia Border & GT,0.0045591885990199366,False,2
71,Falcon,InSample,Colombia & GT,Colombia Border & GT,0.4927198881162715,False,2
72,Guarico,OOS,Colombia & GT by Symptom,Colombia Border & GT,-0.06651141023724172,False,2
73,Guarico,InSample,Colombia & GT by Symptom,Colombia Border & GT,0.4119292699697481,False,2
74,Lara,OOS,Colombia & GT,Colombia Border & GT,0.14903122704170002,False,2
75,Lara,InSample,Colombia & GT,Colombia Border & GT,0.31836003170518545,False,2
76,Merida,OOS,Colombia & GT by Symptom,Colombia Border & GT,-0.10589692765609482,False,2
77,Merida,InSample,Colombia & GT by Symptom,Colombia Border & GT,0.4037401565144119,False,2
78,Miranda,OOS,Colombia & GT,Colombia Border & GT,0.21269078697533728,False,2
79,Miranda,InSample,Colombia & GT,Colombia Border & GT,0.5921594431578363,False,2
80,Monagas,OOS,Colombia & GT by State,Colombia Border & GT,0.008293784384693416,False,2
81,Monagas,InSample,Colombia & GT by State,Colombia Border & GT,0.4322262239848785,False,2
82,Nueva Esparta,OOS,Colombia Border & GT,Colombia Border & GT,-0.027862090157815045,True,2
83,Nueva Esparta,InSample,Colombia Border & GT,Colombia Border & GT,0.5221666930532861,True,2
84,Portuguesa,OOS,Colombia & GT by State,Colombia Border & GT,0.06547273719829716,False,2
85,Portuguesa,InSample,Colombia & GT by State,Colombia Border & GT,0.2144506588779158,False,2
86,Sucre,OOS,Colombia & GT,Colombia Border & GT,-0.30905260191359685,False,2
87,Sucre,InSample,Colombia & GT,Colombia Border & GT,0.39712699044242383,False,2
88,Tachira,OOS,Colombia & GT,Colombia Border & GT,-0.2742006328229494,False,2
89,Tachira,InSample,Colombia & GT,Colombia Border & GT,0.5229949869278632,False,2
90,Total,OOS,Colombia & GT,Colombia Border & GT,0.2004283335766518,False,2
91,Total,InSample,Colombia & GT,Colombia Border & GT,0.6921793664101651,False,2
92,Trujillo,OOS,Colombia Border & GT,Colombia Border & GT,0.06802837377896476,True,2
93,Trujillo,InSample,Colombia Border & GT,Colombia Border & GT,0.4221619783747065,True,2
94,Vargas,OOS,Colombia & GT,Colombia Border & GT,-0.3700720009718248,False,2
95,Vargas,InSample,Colombia & GT,Colombia Border & GT,0.5389711328701703,False,2
96,Yaracuy,OOS,Colombia & GT by Symptom,Colombia Border & GT,0.12929146136268366,False,2
97,Yaracuy,InSample,Colombia & GT by Symptom,Colombia Border & GT,0.5035830870870734,False,2
98,Zulia,OOS,Colombia Border & GT,Colombia Border & GT,-0.07060126395337153,True,2
99,Zulia,InSample,Colombia Border & GT,Colombia Border & GT,0.5521021250115661,True,2
100,Amazonas,OOS,Colombia & GT,Colombia & GT,0.16704112720434827,True,2
101,Amazonas,InSample,Colombia & GT,Colombia & GT,0.43784971686028296,True,2
102,Anzoategui,OOS,Colombia & GT,Colombia & GT,-5.752343579902573,True,2
103,Anzoategui,InSample,Colombia & GT,Colombia & GT,0.7052376568773571,True,2
104,Apure,OOS,Colombia & GT by State,Colombia & GT,-0.1735475222453755,False,2
105,Apure,InSample,Colombia & GT by State,Colombia & GT,0.4564842995374597,False,2
106,Aragua,OOS,Colombia & GT by State,Colombia & GT,-0.9181251253230368,False,2
107,Aragua,InSample,Colombia & GT by State,Colombia & GT,0.3383130157543066,False,2
108,Barinas,OOS,Colombia & GT by State,Colombia & GT,-0.19364226917949967,False,2
109,Barinas,InSample,Colombia & GT by State,Colombia & GT,0.4416665779169754,False,2
110,Bolivar,OOS,Colombia & GT,Colombia & GT,0.06222123920481638,True,2
111,Bolivar,InSample,Colombia & GT,Colombia & GT,0.3412464595909903,True,2
112,Carabobo,OOS,Colombia & GT by State,Colombia & GT,-0.012906516434605164,False,2
113,Carabobo,InSample,Colombia & GT by State,Colombia & GT,0.48654504710205704,False,2
114,Cojedes,OOS,Colombia & GT by Symptom,Colombia & GT,0.09190287731182024,False,2
115,Cojedes,InSample,Colombia & GT by Symptom,Colombia & GT,0.3368301568827744,False,2
116,Delta Amacuro,OOS,Colombia & GT,Colombia & GT,0.1894584354780792,True,2
117,Delta Amacuro,InSample,Colombia & GT,Colombia & GT,0.4058701120815855,True,2
118,Distrito Federal,OOS,Colombia & GT,Colombia & GT,0.10604086474196496,True,2
119,Distrito Federal,InSample,Colombia & GT,Colombia & GT,0.6583003859343644,True,2
120,Falcon,OOS,Colombia & GT,Colombia & GT,-0.0562556847270348,True,2
121,Falcon,InSample,Colombia & GT,Colombia & GT,0.5059035723090812,True,2
122,Guarico,OOS,Colombia & GT by Symptom,Colombia & GT,0.1332111229513061,False,2
123,Guarico,InSample,Colombia & GT by Symptom,Colombia & GT,0.4651220343003111,False,2
124,Lara,OOS,Colombia & GT,Colombia & GT,0.04708474862118717,True,2
125,Lara,InSample,Colombia & GT,Colombia & GT,0.38710276873866256,True,2
126,Merida,OOS,Colombia & GT by Symptom,Colombia & GT,0.003987679679637868,False,2
127,Merida,InSample,Colombia & GT by Symptom,Colombia & GT,0.5969028513104258,False,2
128,Miranda,OOS,Colombia & GT,Colombia & GT,-0.20868212183107407,True,2
129,Miranda,InSample,Colombia & GT,Colombia & GT,0.7332859268634482,True,2
130,Monagas,OOS,Colombia & GT by State,Colombia & GT,-0.2757295921101479,False,2
131,Monagas,InSample,Colombia & GT by State,Colombia & GT,0.36889473709776543,False,2
132,Nueva Esparta,OOS,Colombia Border & GT,Colombia & GT,0.08366783113520837,False,2
133,Nueva Esparta,InSample,Colombia Border & GT,Colombia & GT,0.4704943660508163,False,2
134,Portuguesa,OOS,Colombia & GT by State,Colombia & GT,-0.38626620938668577,False,2
135,Portuguesa,InSample,Colombia & GT by State,Colombia & GT,0.31259261098393243,False,2
136,Sucre,OOS,Colombia & GT,Colombia & GT,-0.22176835879675272,True,2
137,Sucre,InSample,Colombia & GT,Colombia & GT,0.6551344176761951,True,2
138,Tachira,OOS,Colombia & GT,Colombia & GT,-0.07009186820256108,True,2
139,Tachira,InSample,Colombia & GT,Colombia & GT,0.7146000680454949,True,2
140,Total,OOS,Colombia & GT,Colombia & GT,0.3351707528924245,True,2
141,Total,InSample,Colombia & GT,Colombia & GT,0.7616157879811071,True,2
142,Trujillo,OOS,Colombia Border & GT,Colombia & GT,0.07838627544701128,False,2
143,Trujillo,InSample,Colombia Border & GT,Colombia & GT,0.4206083977929289,False,2
144,Vargas,OOS,Colombia & GT,Colombia & GT,-1.2747762825657405,True,2
145,Vargas,InSample,Colombia & GT,Colombia & GT,0.6195681930265636,True,2
146,Yaracuy,OOS,Colombia & GT by Symptom,Colombia & GT,0.019154283846592242,False,2
147,Yaracuy,InSample,Colombia & GT by Symptom,Colombia & GT,0.5162844458771347,False,2
148,Zulia,OOS,Colombia Border & GT,Colombia & GT,0.32434213065864803,False,2
149,Zulia,InSample,Colombia Border & GT,Colombia & GT,0.5507384357855716,False,2
150,Amazonas,OOS,Colombia & GT,Colombia & GT by State,0.2520941643581448,False,2
151,Amazonas,InSample,Colombia & GT,Colombia & GT by State,0.3204491432212377,False,2
152,Anzoategui,OOS,Colombia & GT,Colombia & GT by State,-1.0108013129060969,False,2
153,Anzoategui,InSample,Colombia & GT,Colombia & GT by State,0.5156178898902983,False,2
154,Apure,OOS,Colombia & GT by State,Colombia & GT by State,-0.3750869854202443,True,2
155,Apure,InSample,Colombia & GT by State,Colombia & GT by State,0.4778631341922021,True,2
156,Aragua,OOS,Colombia & GT by State,Colombia & GT by State,-0.15640434683790927,True,2
157,Aragua,InSample,Colombia & GT by State,Colombia & GT by State,0.5621533727035262,True,2
158,Barinas,OOS,Colombia & GT by State,Colombia & GT by State,0.29313839671866115,True,2
159,Barinas,InSample,Colombia & GT by State,Colombia & GT by State,0.4742865412319257,True,2
160,Bolivar,OOS,Colombia & GT,Colombia & GT by State,0.036286096721371286,False,2
161,Bolivar,InSample,Colombia & GT,Colombia & GT by State,0.22264439143087625,False,2
162,Carabobo,OOS,Colombia & GT by State,Colombia & GT by State,0.032792956992033884,True,2
163,Carabobo,InSample,Colombia & GT by State,Colombia & GT by State,0.5541111680444576,True,2
164,Cojedes,OOS,Colombia & GT by Symptom,Colombia & GT by State,0.1476486029922499,False,2
165,Cojedes,InSample,Colombia & GT by Symptom,Colombia & GT by State,0.3543277763417612,False,2
166,Delta Amacuro,OOS,Colombia & GT,Colombia & GT by State,-0.03517763673747454,False,2
167,Delta Amacuro,InSample,Colombia & GT,Colombia & GT by State,0.3252978093246043,False,2
168,Distrito Federal,OOS,Colombia & GT,Colombia & GT by State,-0.031162744139371805,False,2
169,Distrito Federal,InSample,Colombia & GT,Colombia & GT by State,0.27861093165091266,False,2
170,Falcon,OOS,Colombia & GT,Colombia & GT by State,-0.341658636931905,False,2
171,Falcon,InSample,Colombia & GT,Colombia & GT by State,0.3136796621560666,False,2
172,Guarico,OOS,Colombia & GT by Symptom,Colombia & GT by State,0.2860020437752497,False,2
173,Guarico,InSample,Colombia & GT by Symptom,Colombia & GT by State,0.4227085005884788,False,2
174,Lara,OOS,Colombia & GT,Colombia & GT by State,-0.03476296839236803,False,2
175,Lara,InSample,Colombia & GT,Colombia & GT by State,0.2998226725886476,False,2
176,Merida,OOS,Colombia & GT by Symptom,Colombia & GT by State,0.1002382311495128,False,2
177,Merida,InSample,Colombia & GT by Symptom,Colombia & GT by State,0.37365505324102977,False,2
178,Miranda,OOS,Colombia & GT,Colombia & GT by State,0.10024278579644574,False,2
179,Miranda,InSample,Colombia & GT,Colombia & GT by State,0.2742907967582038,False,2
180,Monagas,OOS,Colombia & GT by State,Colombia & GT by State,-0.5219662547560266,True,2
181,Monagas,InSample,Colombia & GT by State,Colombia & GT by State,0.4374599312870938,True,2
182,Nueva Esparta,OOS,Colombia Border & GT,Colombia & GT by State,0.20466023029523986,False,2
183,Nueva Esparta,InSample,Colombia Border & GT,Colombia & GT by State,0.4867213354830132,False,2
184,Portuguesa,OOS,Colombia & GT by State,Colombia & GT by State,0.18053240719236474,True,2
185,Portuguesa,InSample,Colombia & GT by State,Colombia & GT by State,0.3431379297870394,True,2
186,Sucre,OOS,Colombia & GT,Colombia & GT by State,-0.5412109474517186,False,2
187,Sucre,InSample,Colombia & GT,Colombia & GT by State,0.3761962891914771,False,2
188,Tachira,OOS,Colombia & GT,Colombia & GT by State,-0.07153069239077436,False,2
189,Tachira,InSample,Colombia & GT,Colombia & GT by State,0.5834981348932565,False,2
190,Total,OOS,Colombia & GT,Colombia & GT by State,0.35249668360483544,False,2
191,Total,InSample,Colombia & GT,Colombia & GT by State,0.3414073875469362,False,2
192,Trujillo,OOS,Colombia Border & GT,Colombia & GT by State,-0.0146964876605713,False,2
193,Trujillo,InSample,Colombia Border & GT,Colombia & GT by State,0.4030551893984424,False,2
194,Vargas,OOS,Colombia & GT,Colombia & GT by State,-0.2366582644796822,False,2
