year/week,Dengue-AmazonasGT-VE,Dengue-AnzoateguiGT-VE,Dengue-ApureGT-VE,Dengue-AraguaGT-VE,Dengue-BarinasGT-VE,Dengue-BolívarGT-VE,Dengue-CapitalDistrictGT-VE,Dengue-CaraboboGT-VE,Dengue-CojedesGT-VE,Dengue-DeltaAmacuroGT-VE,Dengue-FalcónGT-VE,Dengue-GuáricoGT-VE,Dengue-LaraGT-VE,Dengue-MéridaGT-VE,Dengue-MirandaGT-VE,Dengue-MonagasGT-VE,Dengue-NuevaEspartaGT-VE,Dengue-PortuguesaGT-VE,Dengue-SucreGT-VE,Dengue-TáchiraGT-VE,Dengue-TrujilloGT-VE,Dengue-VargasGT-VE,Dengue-YaracuyGT-VE,Dengue-ZuliaGT-VE,DolorCabeza-AraguaGT-VE,DolorCabeza-BolívarGT-VE,DolorCabeza-CapitalDistrictGT-VE,DolorCabeza-CaraboboGT-VE,DolorCabeza-LaraGT-VE,DolorCabeza-MirandaGT-VE,DolorCabeza-ZuliaGT-VE,DolorGarganta-CapitalDistrictGT-VE,DolorGarganta-ZuliaGT-VE,DoloresArticularesGT-VE,DoloresMusculares-CapitalDistrictGT-VE,Fiebre-AnzoateguiGT-VE,Fiebre-ApureGT-VE,Fiebre-AraguaGT-VE,Fiebre-BarinasGT-VE,Fiebre-BolívarGT-VE,Fiebre-CapitalDistrictGT-VE,Fiebre-CaraboboGT-VE,Fiebre-CojedesGT-VE,Fiebre-FalcónGT-VE,Fiebre-GuáricoGT-VE,Fiebre-LaraGT-VE,Fiebre-MéridaGT-VE,Fiebre-MirandaGT-VE,Fiebre-MonagasGT-VE,Fiebre-NuevaEspartaGT-VE,Fiebre-PortuguesaGT-VE,Fiebre-SucreGT-VE,Fiebre-TáchiraGT-VE,Fiebre-TrujilloGT-VE,Fiebre-VargasGT-VE,Fiebre-YaracuyGT-VE,Fiebre-ZuliaGT-VE,Nausea-AraguaGT-VE,Nausea-BolívarGT-VE,Nausea-CapitalDistrictGT-VE,Nausea-CaraboboGT-VE,Nausea-LaraGT-VE,Nausea-ZuliaGT-VE,Vomito-AnzoateguiGT-VE,Vomito-AraguaGT-VE,Vomito-BarinasGT-VE,Vomito-BolívarGT-VE,Vomito-CapitalDistrictGT-VE,Vomito-CaraboboGT-VE,Vomito-FalcónGT-VE,Vomito-GuáricoGT-VE,Vomito-LaraGT-VE,Vomito-MéridaGT-VE,Vomito-MirandaGT-VE,Vomito-MonagasGT-VE,Vomito-NuevaEspartaGT-VE,Vomito-PortuguesaGT-VE,Vomito-SucreGT-VE,Vomito-TáchiraGT-VE,Vomito-TrujilloGT-VE,Vomito-VargasGT-VE,Vomito-YaracuyGT-VE,Vomito-ZuliaGT-VE
3/13/2005,0,9.676797875,7.64E-05,0,0,7.651201405,5.386461654,7.024247948,1.59E-05,0,0.0004142723234,16.84977991,7.896132296,1.21550627,0,0.0001255062212,0,0.05318917259,0,0,0,1.20E-05,0.09028951192,6.395772726,0.001308721082,0,6.133903176,0.1302463136,0.08704341451,0,0,10.68573887,0,0,9.662475779,0,0,9.475301507,0.001001642896,4.581503897,10.20766522,0.02509830063,0,0,0.1315974397,13.42473556,0.01036848445,11.51162747,0,0.6106324941,0.04439902148,0,0.007804936216,0,3.19E-05,9.69E-05,0,0,0.0003054332827,0.01464880086,0,0,0,0.0001524585204,0.0004238362114,0,0,19.19024595,0.6432222604,0.002039859362,0.006909455238,4.345203718,0,0,0.0008010479169,0,0,0,0,0.006497426199,6.68E-05,8.74E-05,0.268195346
3/20/2005,0,9.091534321,7.38E-05,0,0,6.715283197,5.780991808,10.52011362,1.52E-05,0,0.0003683538641,20.22675667,7.499609499,0,0,7.40E-05,0,0.8059988653,0,0,0,1.15E-05,0.2549024345,5.832421919,0.003279438783,0,5.76966802,0.1750611476,0.1214190229,0,0,9.686283137,0,0,9.774564219,0,0,9.716041066,0.0009115831816,0,10.10373915,0,0,0,0.152492652,13.54213241,0.005714347059,11.53422466,0,0,0.07120180676,0,0.008932756069,0,3.08E-05,9.03E-05,0,0,0.0002882032559,0,0,0,0,0,0.0004134515834,0,0,18.57127722,0.803528693,0.001858966319,0.006722881205,0,0,0,0.0007492230331,0,0,0,0,0.006066268487,6.45E-05,8.24E-05,0.1358274529
3/27/2005,0,8.265400186,7.13E-05,0,0,5.509509017,6.333223585,14.65519382,1.45E-05,0,0.0003212302863,21.6019256,7.63473123,0,0,1.98E-05,0,1.782237513,0,0,0,1.10E-05,0.3850197105,5.533744485,0.005129131791,0,5.190064274,0.224025836,0.1590861933,0,0,9.348120674,0,2.527043846,9.317059366,4.56214574,0,9.988861091,0.0008156193742,0,10.3367684,0,0,0,0.1746640931,13.81505858,0.0001478668419,11.55808291,0,0,0.08333254498,0,0.01012692639,0,2.98E-05,8.38E-05,0,0,0.0002711560825,0,0,0,0,0,0.0004018190795,0,0,16.53873669,0.7753369845,0.001666167397,0.006515224262,0,0,0,0.0006979807621,0,0,0,0,0.005565881821,6.23E-05,7.76E-05,0.05344783334
4/3/2005,0,7.204066669,6.87E-05,0,0,4.040800691,7.03925931,19.37932506,1.39E-05,0,0.0002729015901,21.00580171,8.295134058,0,0,0,0,2.97660783,0,0,0,1.05E-05,0.4800098846,5.496291641,0.006857800107,0,4.400837405,0.2762582454,0.1994395419,0,0,9.657661733,0,6.989322276,8.299776678,13.27360205,0,10.28311103,0.0007137514736,0,10.89468043,0,0,0,0.1948900765,14.23167246,0,11.58359907,0,0,0.08099044532,0,0.01127816432,0,2.87E-05,7.73E-05,0,0,0.0002542917626,0,0,0,0,0,0.0003889386996,0,0,13.12286421,0.5618831203,0.001461462598,0.006286484409,0,0,0,0.0006473211038,0,0,0,0,0.004996266203,6.00E-05,7.28E-05,0.0204036411
4/10/2005,0,6.094893306,6.62E-05,0,0,2.537834882,7.770331235,23.03525433,1.32E-05,0,0.0002233677753,19.44651118,9.270589042,0,0,0,0,4.214103145,0,0,0,1.00E-05,0.5190115444,5.60612583,0.00846544373,0,3.591800659,0.3026153008,0.2224789804,0,0,10.16594132,0,11.55554809,7.046989813,21.63675083,0,10.24692825,0.0006059794798,0,11.37863412,0,0,0,0.1067356209,14.40076264,0,11.62388412,0,0,0.07075678883,0,0.008776088452,0,2.76E-05,7.10E-05,0,0,0.0002376102961,0,0,0,0,0,0.0003748104437,0,0,9.322694276,0.27007447,0.001244851921,0.006036661647,0,0,0,0.0005972440582,0,0,0,0,0.004357421631,5.78E-05,6.80E-05,0.01512677496
4/17/2005,0,5.163677745,6.37E-05,0,0,1.276202855,8.371254016,23.62573165,1.26E-05,0,0.0001726288422,18.13900427,10.30773731,0,0,0,0,5.283812956,0,0,0,9.57E-06,0.4768834136,5.72593441,0.009952062662,0,2.991708787,0.267975023,0.2041012636,0,0,10.33188614,0,14.60848609,5.949499424,25.79996837,0,9.456263021,0.0004923033926,0,11.30796334,0,0,0,0,13.85085797,0,11.69473886,0,0,0.06056305211,0,0,0,2.66E-05,6.47E-05,0.06888353632,0,0.000221111683,0,0,0,0,0,0.0003594343119,0,0,6.342220293,0.02875119317,0.001016335366,0.005765755974,0,0,0,0.0005477496253,0,0,0,0,0.003649348107,5.56E-05,6.33E-05,0.01162428777
4/24/2005,0,4.423862823,6.13E-05,0.6257088943,0.008095448215,0.2723119067,8.832788713,21.03185099,1.19E-05,0,0.0001206847904,17.15561289,11.39149519,0.01705523457,1.343912664,0,0,6.17318073,0,0,2.281956858,9.09E-06,0.3521287093,5.847542491,0.0113176569,0,2.614180677,0.1702464288,0.1428714075,0,0,10.12328346,0,16.05185438,5.030571783,25.5339487,0,7.885869604,0.0003727232122,0,10.65405169,2.416746526,0,0,0,12.55388948,0,11.79710398,0,0,0.05088143471,0,0,0.01886493528,2.55E-05,5.85E-05,1.588522321,0,0.0002047959234,0,0,0,0,0,0.0003428103041,0,0,4.253121864,0,0.0007759129338,0.005473767392,0,0,0,0.0004988378052,0,0,0,0,0.002872045629,5.35E-05,5.87E-05,0.008348692439
5/1/2005,0,3.875448541,5.88E-05,1.62897369,0.02792169608,0,9.154935326,15.2568315,1.13E-05,0,6.75E-05,16.49633706,12.52138633,0.3496897593,4.457694809,0,0,6.882206468,0,0,7.894883725,8.62E-06,0.1447474314,5.970950071,0.01256222645,0,2.459216329,0.009429518426,0.03878941222,0,2.562214762,9.540424385,0,15.88664446,4.290206889,20.84196928,0,5.536510453,0.0002472389385,0.1098354125,9.417371956,8.468053336,0,0,0,10.51055873,0,11.93097948,0,3.949060334,0.04171193662,0,0,0.4627771745,2.45E-05,5.23E-05,3.803196914,0,0.0001886630173,0,0,0,0,0,0.0003249384203,0,0,3.055398991,0,0.0005235846236,0.005160695901,0.2451314287,0,0,0.0004505085978,0,0,0,4.284642393,0.002025514198,5.13E-05,5.41E-05,0.005299988968
5/8/2005,0,3.518434897,5.64E-05,2.775042282,0.04046121775,0,9.337693853,7.936013253,1.06E-05,0,1.32E-05,16.16117676,13.45543816,0.5666654246,7.946042287,0,0,7.410890168,0,0.2645580407,14.34112437,8.16E-06,0,6.096157151,0.0136857713,0,2.526815742,0,0,0,12.3202714,8.731184116,0,14.61654864,3.728404743,13.38897427,0,2.795513037,0.0001158505716,0.5772460201,7.838101244,15.42148351,0,0,0,8.077259111,0,12.09636537,0,19.62324868,0.03305455784,0,0,0.6414426758,2.35E-05,4.63E-05,6.394311549,0,0.0001727129646,0,0,0,0,0,0.0003058186605,0,0,2.749051672,0,0.0002593504358,0.004826541499,0.3802187008,0,0,0.0004027620031,0,0,0,9.507480882,0.001109753814,4.92E-05,4.96E-05,0.002478177357
5/15/2005,0,3.352821892,5.40E-05,3.579850807,0.04571401322,0,9.381064296,3.360554318,1.00E-05,0,0,16.150132,13.55871078,0.6679822303,9.914478616,0,0,7.759231832,0,0.7463258525,18.61204484,7.70E-06,0,6.223163732,0.01468829146,0,2.816978918,0,0,0,16.6061778,8.083589548,0,13.56326339,3.345165345,7.543803402,0,0.6792307376,0,0.8365163669,6.546468045,19.99389999,0,0,0,6.189172487,0,12.29326164,0,24.67387853,0.02490929838,0,0,0.4363430896,2.25E-05,4.03E-05,8.525865924,0,0.0001569457653,0,0,0,0,0,0.0002854510247,0,0,3.334079909,0,0,0.004471304187,0.4234195761,0,0,0.0003555980212,0,0,0,12.44865469,0.0001247644768,4.70E-05,4.51E-05,0
