year/week,AMAZONAS-CO,ANTIOQUIA-CO,ARAUCA-CO,ATLÁNTICO-CO,BOGOTÁ-CO,BOLÍVAR-CO,BOYACÁ-CO,CALDAS-CO,CAQUETÁ-CO,CASANARE-CO,CAUCA-CO,CESAR-CO,CHOCÓ-CO,CÓRDOBA-CO,CUNDINAMARCA-CO,GUAINÍA-CO,GUAVIARE-CO,HUILA-CO,LAGUAJIRA-CO,MAGDALENA-CO,META-CO,NARIÑO-CO,NORSANTANDER-CO,PUTUMAYO-CO,QUINDIO-CO,RISARALDA-CO,SANANDRÉS-CO,SANTANDER-CO,SUCRE-CO,TOLIMA-CO,VALLE-CO,VAUPÉS-CO,VICHADA-CO
1/2/2005,0,13,5,13,13,8,2,13,5,25,0,4,0,1,39,8,1,113,1,0,5,0,22,0,58,0,0,50,11,20,63,0,0
1/9/2005,0,10,3,8,19,12,6,5,16,24,3,5,0,3,38,24,4,103,2,0,22,0,8,0,35,18,0,36,2,15,41,0,0
1/16/2005,0,28,4,9,38,10,5,5,14,42,1,2,0,5,51,26,5,98,1,5,19,0,16,0,41,37,0,40,8,36,69,0,0
1/23/2005,0,13,11,11,39,18,4,8,27,44,1,10,2,5,45,24,6,108,0,3,19,1,13,3,38,22,0,61,12,7,65,0,0
1/30/2005,0,29,2,0,18,9,3,16,14,46,0,9,10,3,45,21,5,50,1,3,50,1,17,0,42,30,0,46,11,16,58,0,0
2/6/2005,0,31,8,6,19,5,2,2,5,65,1,3,1,5,37,3,6,66,2,1,48,4,13,0,34,29,0,45,11,65,55,0,0
2/13/2005,0,24,8,6,7,5,2,7,8,67,0,7,4,5,47,10,24,87,2,4,51,0,18,5,56,34,0,29,7,33,50,0,0
2/20/2005,0,21,11,6,8,5,3,2,14,80,0,10,7,3,41,14,21,75,0,13,42,0,16,4,30,27,0,33,12,29,53,0,0
2/27/2005,0,15,5,4,9,8,6,9,12,53,0,5,1,3,53,17,21,66,1,1,69,0,11,0,31,29,0,30,4,17,60,0,0
3/6/2005,0,20,13,7,10,4,1,2,16,84,3,8,3,4,39,5,7,72,1,6,58,1,9,6,52,31,0,26,3,49,51,0,0
3/13/2005,0,18,16,3,5,3,6,2,18,59,6,0,0,1,30,7,11,74,0,1,61,1,10,8,44,56,0,22,7,31,58,0,0
3/20/2005,0,13,8,5,5,1,2,6,7,24,0,7,3,3,36,4,7,53,1,2,41,1,7,4,55,20,0,16,8,43,39,0,0
3/27/2005,0,21,7,6,17,4,8,4,9,72,4,5,5,5,37,4,4,48,3,0,57,2,11,4,52,34,0,25,5,58,60,0,1
4/3/2005,0,20,11,9,22,4,4,14,21,48,3,6,6,4,27,4,0,55,0,0,68,1,11,13,73,53,0,44,7,56,67,0,0
4/10/2005,0,38,3,4,21,2,3,7,22,43,3,7,7,0,38,0,10,54,1,3,97,2,20,2,66,57,0,58,9,48,65,0,0
4/17/2005,0,9,13,4,4,1,8,6,22,81,0,6,8,3,35,3,12,58,0,12,72,1,8,4,77,32,0,37,25,62,62,0,0
4/24/2005,0,33,37,5,11,5,5,10,28,129,1,7,7,2,29,2,2,66,0,0,92,0,6,7,104,23,0,41,7,50,55,0,0
5/1/2005,0,34,37,8,7,2,7,10,11,156,0,8,5,4,41,3,8,45,0,1,144,3,10,7,49,53,0,52,7,50,59,0,0
5/8/2005,0,29,29,5,16,3,2,7,20,132,0,20,5,10,39,0,2,39,1,1,133,0,7,6,110,68,0,78,8,66,72,1,0
5/15/2005,0,26,33,3,6,5,6,10,20,123,0,19,16,10,26,4,12,48,1,2,171,0,15,7,91,75,0,96,11,85,90,0,0
5/22/2005,0,16,44,9,14,3,0,7,15,106,0,23,10,2,26,1,9,29,2,5,171,0,15,9,114,57,0,117,13,70,84,0,0
5/29/2005,0,18,71,4,10,3,3,9,18,79,0,49,9,3,35,0,6,17,4,7,122,1,12,8,71,68,0,137,7,35,70,0,0
6/5/2005,0,24,49,6,7,3,3,7,17,93,0,24,11,14,33,0,2,29,1,1,167,1,3,6,87,78,0,142,9,55,94,0,0
6/12/2005,0,22,52,14,11,7,10,10,14,75,0,41,2,11,38,0,4,23,2,4,129,1,11,1,96,39,0,136,17,57,96,0,0
6/19/2005,0,35,74,31,16,8,7,8,18,82,0,56,5,13,23,0,5,14,0,5,124,5,14,1,111,92,0,180,13,76,138,0,0
6/26/2005,0,19,42,18,13,15,26,16,4,45,1,76,7,12,15,1,3,15,2,6,92,1,14,1,72,38,0,146,12,45,118,0,1
7/3/2005,0,27,25,12,12,28,1,9,12,36,1,70,6,11,29,2,9,13,8,9,133,0,23,0,58,80,0,106,23,65,139,0,1
7/10/2005,0,23,15,18,35,20,6,8,12,45,2,43,8,22,29,2,2,34,10,6,106,1,18,2,81,56,2,159,19,79,199,0,0
7/17/2005,0,21,30,20,33,21,5,11,9,44,2,53,8,24,33,1,1,19,9,7,79,2,13,1,85,84,2,139,28,87,159,0,0
7/24/2005,0,30,37,23,33,25,4,14,12,40,0,80,12,19,36,2,1,21,7,13,73,1,27,1,89,108,0,125,36,64,144,0,0
7/31/2005,0,18,20,18,8,22,8,2,11,44,0,56,3,18,26,2,0,18,8,31,72,1,12,0,125,107,0,141,33,81,147,0,1
8/7/2005,0,30,14,24,18,16,10,4,8,30,0,52,22,29,41,1,1,35,6,11,73,0,14,2,133,97,0,125,21,72,131,0,2
8/14/2005,0,34,11,23,10,19,2,8,9,19,0,39,5,13,36,2,0,30,9,9,52,4,20,1,112,99,0,128,27,67,146,1,1
8/21/2005,0,34,11,22,12,16,14,2,4,18,0,50,17,11,34,2,2,30,8,13,55,0,10,1,109,78,0,142,34,67,104,0,0
8/28/2005,0,45,19,35,4,19,8,7,6,20,0,62,7,12,42,0,4,21,4,13,89,1,5,1,155,107,3,175,35,87,116,0,0
9/4/2005,0,38,15,40,10,22,4,4,6,17,0,61,6,22,37,0,1,20,3,16,42,0,18,0,148,97,6,169,48,107,111,0,0
9/11/2005,0,47,18,31,9,22,6,2,9,20,0,56,0,8,52,0,3,17,4,13,47,1,25,0,190,77,1,142,31,64,114,0,0
9/18/2005,0,42,14,28,9,9,2,5,4,18,0,42,13,23,45,1,2,21,4,19,49,2,29,2,201,113,4,184,64,34,121,0,0
9/25/2005,0,39,26,35,14,35,14,6,14,11,1,54,13,39,46,0,4,12,0,15,46,2,22,2,174,80,0,165,49,139,122,0,0
10/2/2005,0,47,17,17,8,17,4,1,2,21,0,57,8,29,46,1,1,14,2,24,73,1,22,1,159,126,3,144,68,165,89,0,0
10/9/2005,0,35,19,18,8,27,3,3,5,11,0,68,0,34,58,0,2,11,4,30,45,0,9,0,160,124,3,137,53,121,86,0,0
10/16/2005,0,26,25,39,6,26,8,0,7,9,2,76,2,24,46,0,1,16,2,41,48,0,22,3,167,124,5,158,47,102,99,0,0
10/23/2005,0,28,25,50,12,16,7,1,7,8,0,57,13,20,39,0,0,12,4,54,35,0,24,0,94,102,0,189,70,167,51,0,0
10/30/2005,0,35,24,59,7,16,1,6,6,11,0,10,0,19,28,0,0,17,7,28,35,1,21,3,36,1,1,191,50,129,60,0,0
11/6/2005,0,24,24,38,4,15,4,2,6,13,0,43,3,36,33,0,0,32,7,46,29,0,20,3,22,1,0,190,75,22,43,0,0
11/13/2005,0,48,29,65,5,20,2,1,3,17,0,34,3,16,38,0,0,31,10,44,48,0,10,4,30,2,2,150,53,18,50,0,0
11/20/2005,0,35,20,69,9,25,6,3,6,14,0,42,4,31,32,0,0,25,13,25,40,0,17,3,32,51,1,162,56,5,64,0,0
11/27/2005,0,44,16,119,5,15,7,1,0,24,0,42,0,16,27,0,0,29,14,20,28,1,17,4,62,70,0,180,62,2,73,0,0
12/4/2005,0,34,9,96,13,5,9,2,15,8,1,44,1,5,23,0,0,21,13,27,20,1,26,3,47,36,0,120,34,0,48,0,0
12/11/2005,0,25,7,3,9,11,9,3,5,10,0,8,0,24,17,0,0,31,7,42,36,0,9,3,17,46,0,151,40,0,49,0,0
12/18/2005,0,16,12,107,3,14,9,6,17,10,0,13,0,7,24,0,6,30,5,49,37,0,11,6,61,51,0,148,0,0,50,0,0
12/25/2005,0,21,19,114,14,0,13,0,12,8,0,9,0,16,28,1,1,39,10,46,33,1,14,6,33,31,0,154,43,0,64,0,0
1/1/2006,0,21,14,46,15,6,6,6,11,6,0,9,0,19,25,0,12,27,6,27,0,0,0,5,54,20,0,163,38,0,42,0,0
1/8/2006,0,24,10,5,39,7,4,8,14,22,0,20,0,12,31,0,9,30,9,29,16,0,0,4,35,23,0,120,56,0,42,0,0
1/15/2006,0,31,14,43,55,2,9,3,27,15,0,14,0,20,30,0,0,38,4,19,18,0,12,2,40,70,0,144,65,0,50,0,0
1/22/2006,0,29,12,56,44,3,6,16,25,21,0,13,0,32,28,0,0,51,7,37,11,1,10,2,44,46,0,138,52,0,56,0,0
1/29/2006,0,30,26,46,40,0,6,13,15,31,2,15,6,26,36,1,0,83,6,26,49,0,15,1,51,16,0,133,38,1,53,0,0
2/5/2006,0,29,19,34,18,14,8,11,59,92,3,20,0,27,45,1,0,43,5,17,26,1,19,2,39,23,1,147,63,0,41,0,7
2/12/2006,0,28,12,52,12,2,7,10,49,182,4,10,0,23,35,0,9,70,3,35,66,0,46,2,22,19,0,128,64,0,31,0,4
2/19/2006,0,38,19,16,13,4,15,13,35,179,2,19,1,16,51,3,18,74,8,7,35,0,46,3,47,19,0,166,109,0,48,0,4
2/26/2006,0,33,17,10,12,0,13,9,18,76,7,14,4,39,45,5,19,45,3,21,13,3,66,12,50,39,0,127,94,0,68,0,1
3/5/2006,0,43,13,19,12,2,6,15,7,84,2,8,0,25,48,0,15,55,0,16,31,0,60,10,22,16,0,102,78,0,55,0,0
3/12/2006,0,23,23,18,21,0,13,19,18,79,3,7,0,22,41,0,0,48,0,3,30,0,42,11,28,25,0,119,56,0,21,0,2
3/19/2006,0,27,16,20,9,5,9,9,29,43,7,13,1,25,51,0,7,39,1,14,23,2,57,6,21,22,0,124,63,3,46,0,0
3/26/2006,0,48,32,18,9,2,18,18,9,29,0,9,4,34,47,0,0,39,0,9,26,0,31,18,22,26,2,128,47,0,41,0,0
4/2/2006,0,39,29,5,7,0,10,9,0,27,1,6,0,19,18,0,1,31,0,5,21,0,33,8,25,8,0,44,43,0,22,0,2
4/9/2006,0,14,33,6,11,2,6,12,3,23,1,10,2,15,29,0,13,36,0,4,12,1,69,2,18,26,0,129,47,0,27,2,0
4/16/2006,0,35,39,30,12,1,13,27,0,23,5,13,4,29,34,0,14,50,1,3,40,1,54,9,28,29,0,139,46,0,53,0,0
4/23/2006,0,28,54,20,11,9,11,15,10,25,2,8,0,13,27,0,25,49,0,6,23,0,24,5,37,36,0,97,45,0,27,0,0
4/30/2006,0,40,47,12,19,5,5,10,9,22,4,9,6,25,14,0,41,25,1,1,38,1,64,2,0,48,0,151,25,0,38,0,0
5/7/2006,0,5,41,17,17,3,5,15,8,32,4,14,2,29,22,2,55,33,0,4,36,0,54,12,0,48,0,141,49,0,52,0,2
5/14/2006,0,41,38,11,9,7,7,11,4,38,8,11,0,30,19,3,14,42,0,1,52,1,101,16,0,34,0,117,55,0,38,0,3
5/21/2006,0,40,39,18,10,6,9,11,0,38,0,19,2,14,19,4,13,22,3,7,26,2,49,8,23,25,0,170,71,0,48,0,0
5/28/2006,0,16,36,12,1,6,9,14,0,49,5,13,0,45,29,0,19,28,3,13,23,0,88,11,29,34,0,159,57,0,44,0,1
6/4/2006,0,30,46,26,7,11,11,9,0,40,0,15,3,29,15,2,15,29,1,3,29,0,110,4,26,18,0,150,72,0,29,0,0
6/11/2006,0,40,44,12,7,5,6,11,0,51,1,32,0,34,19,0,10,27,0,2,25,0,115,5,25,21,0,186,93,0,22,0,0
6/18/2006,0,34,28,27,6,6,8,17,0,61,1,36,5,51,21,3,6,39,0,0,14,0,138,6,22,16,0,170,78,0,33,0,2
6/25/2006,0,27,45,66,9,6,3,2,0,54,1,15,0,54,15,1,3,25,0,1,12,0,135,5,16,17,0,162,61,0,6,0,2
7/2/2006,0,43,35,50,6,12,4,9,0,40,4,25,3,46,21,0,13,47,0,1,17,0,134,1,24,22,5,206,77,1,40,0,2
7/9/2006,0,46,36,36,15,12,7,8,0,40,2,31,5,46,21,0,9,38,0,0,18,0,157,4,25,45,5,190,57,1,28,0,1
7/16/2006,0,58,27,59,18,6,6,15,0,48,1,25,1,50,13,0,5,45,0,5,16,1,122,3,17,36,3,151,38,0,24,0,1
7/23/2006,0,54,21,43,9,7,4,9,0,31,3,21,7,54,12,1,1,25,0,7,20,0,153,3,22,17,1,151,69,0,16,0,11
7/30/2006,0,41,28,17,6,12,3,7,15,49,10,32,0,42,14,2,15,14,0,19,21,3,141,2,21,47,0,135,46,1,21,0,20
8/6/2006,0,55,9,46,7,7,1,5,4,46,2,23,4,50,18,1,3,36,1,5,24,0,122,3,18,41,0,185,26,1,30,0,22
8/13/2006,0,40,13,36,4,0,3,7,11,43,1,18,4,55,18,0,12,50,0,3,22,0,174,2,21,41,0,182,19,0,34,0,46
8/20/2006,0,60,8,28,6,8,1,9,13,22,2,35,2,43,11,1,6,26,0,6,10,2,124,4,20,27,0,200,22,0,21,0,50
8/27/2006,0,53,7,38,3,9,3,12,2,58,0,30,8,53,18,0,3,44,0,2,8,0,139,4,27,27,0,169,20,1,12,0,25
9/3/2006,0,39,8,51,10,12,4,8,6,34,0,21,9,36,13,0,0,56,0,2,7,0,160,1,28,30,0,141,12,0,17,0,17
9/10/2006,0,44,6,66,5,11,2,11,2,23,0,30,0,35,18,1,0,57,0,2,10,0,185,4,25,17,1,137,18,0,5,0,10
9/17/2006,0,58,5,12,7,12,4,15,6,20,0,52,7,36,19,0,1,46,0,0,14,1,244,3,32,43,0,159,18,0,18,0,3
9/24/2006,0,53,4,43,5,8,8,16,1,24,0,43,2,13,20,0,0,49,0,1,16,0,280,4,21,17,3,169,31,0,23,0,3
10/1/2006,0,57,4,20,6,7,10,17,8,23,0,37,11,25,19,3,0,83,0,0,21,0,196,4,46,23,0,138,30,0,35,0,5
10/8/2006,0,81,8,63,7,4,0,0,13,46,0,17,5,25,32,0,0,79,0,3,22,0,150,3,38,25,5,149,20,0,23,0,4
10/15/2006,0,55,3,54,18,7,0,32,13,34,1,39,3,21,16,1,1,68,2,0,24,0,130,6,56,27,0,125,22,0,32,0,0
10/22/2006,0,79,5,45,7,15,5,9,22,27,1,24,11,13,32,1,1,92,0,4,25,0,162,8,48,35,0,117,14,0,48,0,2
10/29/2006,0,59,1,29,6,10,0,25,10,15,0,28,3,10,13,1,0,59,1,1,16,0,131,8,73,28,6,124,30,0,37,0,0
11/5/2006,0,77,5,9,6,5,3,18,8,15,0,25,1,25,22,0,1,84,0,2,13,0,103,6,74,28,1,80,21,0,26,0,1
11/12/2006,0,119,6,74,11,19,11,29,14,22,3,37,6,29,31,1,0,78,3,4,13,0,156,5,77,35,2,81,25,0,30,0,0
11/19/2006,0,53,2,48,8,11,6,19,7,17,0,43,3,12,16,0,0,64,0,1,15,2,57,4,80,41,0,84,17,0,35,0,0
11/26/2006,0,65,1,40,4,7,1,10,12,9,0,33,1,8,12,0,0,62,0,2,18,0,93,2,46,30,0,67,18,0,21,0,0
12/3/2006,0,73,2,70,5,3,3,15,12,7,0,44,2,7,15,0,2,15,0,1,10,0,103,2,53,39,1,98,32,0,38,0,5
12/10/2006,0,61,2,62,5,3,3,15,7,12,0,30,21,11,10,1,3,54,1,8,26,0,113,1,46,31,0,80,25,0,35,0,0
12/17/2006,0,49,4,6,9,7,2,3,10,7,0,27,2,6,11,2,0,80,0,5,7,0,91,2,46,14,0,72,32,0,25,0,0
12/24/2006,0,45,0,32,6,0,4,2,6,10,1,9,0,12,5,0,0,83,0,2,21,0,120,2,39,23,0,17,20,0,31,0,0
12/31/2006,0,0,3,75,0,29,2,7,1,4,1,19,0,4,5,0,8,17,1,8,17,0,70,2,12,12,0,34,9,9,11,0,0
1/7/2007,0,2,2,28,0,3,2,3,4,6,1,9,0,2,8,0,1,10,1,7,12,0,59,2,16,5,3,46,14,6,9,0,2
1/14/2007,0,1,3,23,0,7,1,4,2,10,0,15,0,6,12,1,1,13,3,5,24,0,63,0,18,5,0,45,16,12,3,0,1
1/21/2007,2,4,2,32,0,6,1,7,5,7,1,23,1,6,7,0,2,17,2,4,30,1,73,5,15,10,3,48,11,11,2,0,2
1/28/2007,0,6,2,46,0,6,2,7,9,7,10,32,1,4,11,0,12,11,9,15,16,1,101,2,21,8,0,39,6,14,3,0,2
2/4/2007,0,4,8,40,0,5,3,10,6,3,2,43,0,2,4,0,22,18,7,10,14,1,97,3,18,11,0,58,9,10,1,0,1
2/11/2007,0,3,8,31,0,3,5,22,8,6,6,27,0,1,3,0,15,27,3,10,24,0,78,3,21,13,0,71,9,9,4,0,0
2/18/2007,0,3,7,13,0,3,5,10,6,5,5,11,0,1,5,0,3,17,3,5,24,0,65,2,31,12,2,57,3,10,3,0,0
2/25/2007,2,0,13,37,0,2,3,15,11,8,3,31,0,1,3,0,3,22,2,5,36,0,71,3,24,12,0,32,6,19,5,0,2
3/4/2007,1,1,9,34,0,6,2,16,6,3,6,28,1,4,2,0,3,16,5,7,20,1,53,3,22,11,0,35,6,6,5,0,1
3/11/2007,0,2,7,21,0,2,5,15,7,22,2,21,0,4,3,0,14,15,0,5,20,2,56,4,24,14,0,45,5,11,4,0,0
3/18/2007,0,1,9,13,0,3,2,23,4,15,3,31,0,7,3,0,5,14,2,6,33,1,48,6,16,4,0,61,4,9,2,0,0
3/25/2007,0,3,11,11,0,0,4,21,4,14,2,13,0,0,2,0,8,12,0,1,40,2,62,2,19,10,0,54,6,14,0,0,0
4/1/2007,0,1,11,10,0,2,4,19,8,14,4,15,0,3,8,0,9,14,1,4,25,1,41,11,8,1,0,64,4,6,6,0,0
4/8/2007,0,1,10,24,0,0,13,21,6,15,9,12,0,2,6,0,9,19,1,2,47,0,40,3,13,16,0,64,4,11,2,0,0
4/15/2007,0,1,8,13,0,5,11,25,7,10,2,20,0,5,13,0,10,14,0,6,36,0,57,9,13,7,0,34,7,9,4,0,0
4/22/2007,1,0,7,19,0,1,18,22,5,23,1,15,1,4,4,1,6,13,0,3,33,1,41,3,17,7,0,60,3,7,3,0,1
4/29/2007,0,2,6,21,0,4,14,17,10,26,0,25,0,3,4,0,7,20,2,9,49,0,38,5,17,12,0,62,3,6,6,0,0
5/6/2007,1,0,8,13,0,9,14,15,3,26,0,35,1,3,3,1,5,18,6,3,51,1,31,11,15,10,0,89,4,5,2,0,1
5/13/2007,0,0,17,22,0,9,23,10,3,31,3,34,2,6,8,0,7,20,6,11,60,0,34,4,24,6,1,105,10,8,10,0,19
5/20/2007,1,4,21,11,0,8,22,14,5,28,3,39,3,5,4,0,8,12,9,6,60,0,25,4,18,5,0,93,7,13,6,0,2
5/27/2007,0,3,19,12,0,3,13,8,8,17,3,34,0,10,11,1,7,18,5,7,37,0,36,2,14,11,0,128,7,7,9,0,5
6/3/2007,0,0,13,45,0,6,20,11,3,19,1,48,2,5,9,0,12,26,9,11,47,0,16,2,15,13,0,97,10,4,9,0,12
6/10/2007,0,0,3,26,0,5,13,10,10,13,5,22,0,6,5,0,3,24,4,7,53,0,24,4,17,9,0,103,7,13,4,0,5
6/17/2007,0,1,6,52,0,8,6,11,3,18,2,37,0,4,3,1,4,29,7,13,50,0,31,2,28,11,1,129,2,9,4,0,3
6/24/2007,0,1,12,76,0,10,10,12,1,9,2,25,1,4,1,0,7,21,5,14,51,0,47,1,20,13,3,119,11,9,5,0,0
7/1/2007,2,1,2,76,0,7,7,8,2,12,1,52,0,2,10,1,1,14,6,14,53,0,39,1,30,15,0,111,12,9,7,0,3
7/8/2007,0,1,6,113,0,7,9,10,3,13,0,34,0,0,16,2,3,8,7,30,53,1,52,6,28,0,0,104,6,8,7,0,1
7/15/2007,0,0,14,74,0,6,10,7,2,6,2,37,0,5,14,0,1,12,0,26,40,0,71,3,35,22,2,132,7,12,2,0,2
7/22/2007,1,2,3,114,0,8,5,11,2,10,3,26,0,9,9,0,2,41,12,21,29,0,47,3,20,2,0,125,9,10,4,0,0
7/29/2007,0,3,2,101,0,10,1,11,2,7,3,26,0,18,10,0,2,23,1,31,31,0,39,0,29,0,4,109,6,12,4,0,2
8/5/2007,0,1,3,56,0,6,3,6,5,4,3,20,0,7,3,0,3,16,0,23,27,0,36,1,16,4,5,99,7,7,2,0,2
8/12/2007,0,1,4,77,0,8,1,2,6,4,6,19,0,9,9,2,1,13,0,40,14,1,44,1,33,12,2,92,6,10,1,0,1
8/19/2007,0,1,4,44,0,7,2,4,2,8,2,23,1,0,10,0,2,5,5,21,26,0,27,1,31,10,1,78,3,14,11,0,3
8/26/2007,0,0,2,73,0,5,3,4,1,8,2,19,0,2,4,0,1,12,7,27,25,3,32,4,21,21,5,83,3,9,1,0,12
9/2/2007,0,1,1,87,0,1,1,7,2,9,4,13,0,3,2,1,1,7,2,17,19,0,44,1,15,9,4,86,0,9,6,0,0
9/9/2007,0,0,0,77,0,6,5,4,3,2,0,19,0,3,6,4,6,3,1,43,25,1,39,1,22,4,3,79,7,11,4,0,3
9/16/2007,0,0,1,86,0,4,8,7,3,1,4,30,3,2,3,0,8,13,2,39,15,1,36,1,24,18,3,90,4,16,3,0,2
9/23/2007,0,1,2,93,0,4,3,8,1,3,0,17,0,9,2,0,4,7,5,47,22,1,51,0,34,21,0,82,2,9,10,0,0
9/30/2007,0,0,0,100,0,4,3,7,1,1,0,29,0,0,4,0,1,7,4,45,15,1,54,1,27,16,0,52,7,9,3,0,0
10/7/2007,0,2,1,81,0,4,1,4,1,0,1,14,1,4,7,0,5,9,3,42,19,0,54,1,28,7,0,51,5,13,0,0,0
10/14/2007,0,0,1,81,0,14,0,2,0,5,0,10,1,4,1,0,1,8,9,32,15,0,46,0,16,17,1,52,6,10,5,1,0
10/21/2007,0,0,3,90,0,9,10,5,1,3,3,30,0,5,4,0,5,14,2,27,21,0,49,0,25,13,0,49,10,13,4,0,0
10/28/2007,0,0,1,78,0,13,3,4,2,2,0,11,0,0,2,0,4,10,5,33,11,1,34,1,14,9,1,51,4,9,5,0,0
11/4/2007,0,1,2,92,0,9,2,4,0,0,0,25,0,4,6,0,4,6,2,45,15,0,48,0,24,1,0,40,2,6,2,0,0
11/11/2007,0,1,2,108,0,19,1,1,0,3,0,14,0,3,2,0,10,6,6,34,25,0,35,2,17,12,0,34,3,6,3,0,0
11/18/2007,0,0,0,160,0,16,2,3,1,1,0,1,0,0,10,1,3,7,12,28,25,0,38,0,14,8,1,37,5,8,4,0,0
11/25/2007,0,0,0,100,0,17,4,3,3,1,1,3,0,4,8,0,2,2,17,40,24,0,46,0,11,3,0,24,5,5,1,0,0
12/2/2007,0,2,0,90,0,17,2,8,3,2,0,11,0,2,8,1,3,10,16,39,22,0,19,1,2,4,1,32,5,5,7,0,1
12/9/2007,0,1,0,66,0,1,1,3,12,0,1,11,0,3,4,0,2,7,19,47,13,0,34,3,2,2,0,27,3,3,10,0,0
12/16/2007,0,1,0,71,0,3,3,2,0,0,0,5,0,1,4,1,1,6,12,18,10,0,20,2,0,4,0,16,4,5,5,0,0
12/23/2007,0,2,2,93,0,2,0,2,0,0,1,9,0,2,9,0,3,8,4,32,3,0,18,2,15,5,3,29,2,5,14,0,0
12/30/2007,0,25,12,85,0,13,1,2,5,10,1,7,1,8,16,2,2,20,7,11,29,0,24,3,14,4,0,39,2,13,27,0,0
1/6/2008,0,37,9,102,0,16,5,0,2,18,5,3,0,14,29,3,6,24,7,8,27,1,26,2,13,4,0,35,6,23,26,0,0
1/13/2008,0,31,13,100,0,15,6,2,1,14,3,11,0,13,16,4,7,26,11,6,37,0,26,3,17,5,0,24,7,20,37,0,1
1/20/2008,0,30,6,98,0,29,2,3,4,12,2,13,1,15,14,2,4,22,7,10,19,0,37,1,19,3,0,33,7,20,23,0,0
1/27/2008,0,23,8,94,0,26,2,0,1,9,2,10,0,11,19,3,3,24,9,11,28,1,37,1,13,10,0,35,5,16,34,0,1
2/3/2008,0,21,8,91,0,22,3,3,1,14,1,4,0,13,17,5,3,22,5,7,27,0,21,3,17,5,0,32,8,21,37,0,1
2/10/2008,0,21,6,109,0,20,2,4,6,8,4,8,0,12,13,9,7,16,9,5,24,0,24,5,20,8,0,30,6,12,38,0,1
2/17/2008,0,32,13,93,0,23,3,4,5,12,5,4,0,5,18,1,4,19,6,10,30,0,24,3,15,4,0,35,6,14,27,0,1
2/24/2008,0,25,6,92,0,23,4,3,2,9,1,6,0,5,13,2,3,17,3,4,28,0,26,2,15,3,0,32,12,13,27,0,1
3/2/2008,0,15,6,104,0,20,1,2,2,7,3,6,2,7,13,6,2,12,1,7,24,0,30,4,18,2,0,31,10,15,23,0,0
3/9/2008,0,18,5,70,0,17,2,0,4,7,1,5,1,9,8,4,6,13,3,7,23,2,25,1,14,1,0,29,9,15,22,0,0
3/16/2008,0,20,12,75,0,14,2,1,6,7,4,7,0,6,8,4,4,13,6,5,25,2,25,1,18,1,0,21,7,12,16,0,1
3/23/2008,0,17,12,83,1,14,1,0,1,8,3,6,0,5,13,0,2,24,7,10,31,2,20,6,12,2,1,28,4,7,26,0,1
3/30/2008,0,25,9,77,0,20,1,1,4,16,1,13,0,6,13,2,3,21,8,8,35,1,25,8,9,3,1,33,8,18,34,0,0
4/6/2008,0,20,11,95,0,13,3,1,1,13,1,7,1,7,16,1,3,18,7,7,25,0,24,1,17,3,1,39,3,9,23,0,0
4/13/2008,0,15,11,78,0,20,2,0,0,11,2,5,0,11,7,1,6,10,9,11,26,0,31,3,13,4,0,32,7,11,25,0,0
4/20/2008,0,17,10,100,0,9,2,3,2,7,0,3,1,15,13,0,5,19,7,7,18,0,16,2,12,5,0,26,6,13,19,1,0
4/27/2008,0,21,8,65,0,12,1,2,4,4,2,4,0,11,11,3,3,26,13,5,29,0,13,4,15,2,0,23,3,12,21,0,3
5/4/2008,0,21,10,92,0,11,3,0,5,12,4,5,0,4,8,2,3,16,7,7,41,0,23,2,18,8,0,22,6,14,24,0,1
5/11/2008,0,18,10,84,0,10,2,2,3,10,1,7,0,11,11,0,3,12,5,11,26,0,31,1,8,6,0,33,3,11,19,0,0
5/18/2008,0,23,9,82,0,18,4,5,2,7,1,6,0,10,14,2,4,17,6,11,26,0,21,3,11,2,2,30,4,15,25,0,0
5/25/2008,0,22,4,62,0,18,1,0,2,12,0,2,2,9,14,0,4,15,4,7,24,0,19,1,14,3,0,28,5,8,23,0,0
6/1/2008,0,19,9,90,0,17,3,1,0,12,1,2,0,13,9,4,5,20,4,6,34,0,27,6,9,2,0,26,6,14,30,0,2
6/8/2008,1,18,7,85,0,18,1,2,2,8,4,4,0,16,8,3,5,14,8,7,17,0,26,1,11,3,0,34,10,13,12,0,1
6/15/2008,0,21,10,87,0,19,4,1,3,6,1,6,0,8,14,1,7,15,5,5,20,0,23,2,22,0,0,32,5,11,15,1,0
6/22/2008,0,27,7,87,0,14,3,0,0,7,0,3,0,7,5,2,0,20,5,5,25,1,15,4,13,0,0,34,4,10,25,0,0
6/29/2008,1,17,7,84,0,12,3,1,5,12,1,6,0,6,6,2,2,21,8,6,31,0,25,1,19,0,0,35,3,12,27,0,0
7/6/2008,0,23,11,97,0,22,2,1,5,7,5,3,0,8,11,1,1,18,6,5,19,0,28,1,16,2,1,29,8,15,24,0,1
7/13/2008,0,22,8,78,0,11,2,3,4,9,0,3,1,12,9,3,4,19,6,6,25,1,28,1,8,3,0,26,5,11,34,0,2
7/20/2008,0,23,12,86,0,18,2,0,4,8,1,5,0,7,13,2,2,16,5,6,30,0,22,0,9,4,0,27,4,9,25,0,1
